Normal Distribution w/ Mean of 6000, Standard Deviation of 1000
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
p40:	6022	93834
p41:	8078	167629
p42:	6172	99756
p43:	4077	41958
p44:	4968	72489
p45:	4433	58585
p46:	1449	1471
p47:	1118	303
p48:	6444	124527
p49:	3308	23553
Total Elapsed Time:	267445
Average Wait Time:	93471

SRT (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	1041	0
p1:	4370	8127
p2:	7599	35575
p3:	6209	22972
p4:	2383	0
p5:	3247	2792
p6:	6302	26666
p7:	6388	27365
p8:	2430	0
p9:	5084	17688
p10:	10659	59701
p11:	8339	49108
p12:	3357	5689
p13:	8139	40869
p14:	3568	6343
p15:	8983	52329
p16:	2139	0
p17:	4102	11265
p18:	3813	7402
p19:	5846	20170
p20:	6779	29625
p21:	4059	8596
p22:	4518	13588
p23:	1503	0
p24:	9528	55432
p25:	8283	47099
p26:	2280	1639
p27:	2260	1480
p28:	2941	2702
p29:	7003	31818
p30:	5247	17706
p31:	10166	56447
p32:	3212	3490
p33:	8148	41624
p34:	8779	49722
p35:	8164	43165
p36:	7416	32303
p37:	4178	10697
p38:	7511	35504
p39:	4903	14267
p40:	6022	19693
p41:	8078	38221
p42:	6172	22353
p43:	4077	8461
p44:	4968	14525
p45:	4433	11455
p46:	1449	353
p47:	1118	233
p48:	6444	26931
p49:	3308	2769
Total Elapsed Time:	71724
Average Wait Time:	20719

LRT (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	1041	265855
p1:	4370	262496
p2:	7599	259233
p3:	6209	260567
p4:	2383	264320
p5:	3247	263410
p6:	6302	260325
p7:	6388	260190
p8:	2430	264074
p9:	5084	261387
p10:	10659	255785
p11:	8339	258051
p12:	3357	262952
p13:	8139	258147
p14:	3568	262642
p15:	8983	257209
p16:	2139	263961
p17:	4102	261962
p18:	3813	262198
p19:	5846	260127
p20:	6779	259151
p21:	4059	261803
p22:	4518	261300
p23:	1503	264246
p24:	9528	256215
p25:	8283	257406
p26:	2280	263322
p27:	2260	263291
p28:	2941	262564
p29:	7003	258478
p30:	5247	260175
p31:	10166	255229
p32:	3212	262094
p33:	8148	257139
p34:	8779	256462
p35:	8164	257024
p36:	7416	257717
p37:	4178	260887
p38:	7511	257523
p39:	4903	260066
p40:	6022	258902
p41:	8078	256807
p42:	6172	258653
p43:	4077	260686
p44:	4968	259752
p45:	4433	260234
p46:	1449	263149
p47:	1118	263429
p48:	6444	258085
p49:	3308	261150
Total Elapsed Time:	2915355
Average Wait Time:	260356

LRT (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	1041	65758
p1:	4370	62384
p2:	7599	59110
p3:	6209	60447
p4:	2383	64218
p5:	3247	63305
p6:	6302	60204
p7:	6388	60071
p8:	2430	63971
p9:	5084	61271
p10:	10659	55646
p11:	8339	57919
p12:	3357	62846
p13:	8139	58023
p14:	3568	62535
p15:	8983	57074
p16:	2139	63861
p17:	4102	61852
p18:	3813	62090
p19:	5846	60012
p20:	6779	59029
p21:	4059	61694
p22:	4518	61191
p23:	1503	64147
p24:	9528	56079
p25:	8283	57278
p26:	2280	63221
p27:	2260	63191
p28:	2941	62461
p29:	7003	58357
p30:	5247	60059
p31:	10166	55089
p32:	3212	61990
p33:	8148	57012
p34:	8779	56326
p35:	8164	56896
p36:	7416	57595
p37:	4178	60776
p38:	7511	57396
p39:	4903	59955
p40:	6022	58785
p41:	8078	56681
p42:	6172	58539
p43:	4077	60577
p44:	4968	59638
p45:	4433	60127
p46:	1449	63051
p47:	1118	63332
p48:	6444	57967
p49:	3308	61044
Total Elapsed Time:	2614122
Average Wait Time:	60241

------------------------

Normal Distribution w/ Mean of 3000, Standard Deviation of 6000
FIFO (1 PROCESSOR)
Process	Cycles	Wait Time
p0:	555	0
p1:	5398	505
p2:	3313	5853
p3:	3454	9116
p4:	3583	12520
p5:	1627	16053
p6:	9989	17630
p7:	6509	27569
p8:	6208	34028
p9:	7475	40186
p10:	154	47611
p11:	2769	47715
p12:	4169	50434
p13:	89	54553
p14:	778	54592
p15:	8293	55320
p16:	6424	63563
p17:	4505	69937
p18:	1871	74392
p19:	10935	76213
p20:	10514	87098
p21:	9250	97562
p22:	6222	106762
p23:	7168	112934
p24:	6247	120052
p25:	5125	126249
p26:	268	131324
p27:	5267	131542
p28:	1355	136759
p29:	3033	138064
p30:	6118	141047
p31:	3259	147115
p32:	115	150324
p33:	1452	150389
p34:	649	151791
p35:	3666	152390
p36:	135	156006
p37:	6858	156091
p38:	4556	162899
p39:	2104	167405
p40:	6948	169459
p41:	1067	176357
p42:	716	177374
p43:	6561	178040
p44:	9347	184551
p45:	2395	193848
p46:	5812	196193
p47:	7914	201955
p48:	1872	209819
p49:	2861	211641
Total Elapsed Time:	217452
Average Wait Time:	107616

FIFO (4 PROCESSORS)
Process	Cycles	Wait Time
p0:	555	0
p1:	5398	0
p2:	3313	0
p3:	3454	0
p4:	3583	355
p5:	1627	3163
p6:	9989	3304
p7:	6509	3788
p8:	6208	4640
p9:	7475	4998
p10:	154	10147
p11:	2769	10251
p12:	4169	10648
p13:	89	12273
p14:	778	12312
p15:	8293	12820
p16:	6424	12793
p17:	4505	12940
p18:	1871	14517
p19:	10935	16338
p20:	10514	17295
p21:	9250	18967
p22:	6222	20763
p23:	7168	26935
p24:	6247	27023
p25:	5125	27559
p26:	268	27967
p27:	5267	28185
p28:	1355	32534
p29:	3033	33020
